"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","p_adj_FDR","nlog10p.adj","nlog10p.FDR","cluster"
"MT-ND3",6.50640736917014e-104,0.600400417529309,0.928,0.921,2.11464745905399e-99,1.50536985511899e-103,98.6747620251444,102.822356784918,7
"L1MDa",7.20678020613928e-104,0.564313825243224,0.855,0.882,2.34227563479733e-99,1.66518107574249e-103,98.6303619992603,102.778538533377,7
"AluYk3",1.38555811077528e-101,0.653072629362806,0.735,0.757,4.50320241583075e-97,3.05424431570644e-101,96.3464785313621,100.515096225721,7
"L1ME4b",1.13231041817595e-100,0.505176645388384,0.889,0.917,3.68012209011366e-96,2.45523590674836e-100,95.4341377731245,99.6099067731635,7
"AluSq10",3.46821600328941e-98,0.671141257885743,0.735,0.746,1.12720488322909e-93,7.26473400689019e-98,92.9479971384625,97.1387802824609,7
"AluYk4",6.8465758714881e-97,0.700648090049849,0.735,0.757,2.22520562399235e-92,1.38212748002204e-96,91.6526298510925,95.8594518981219,7
"L3",9.26557691648328e-94,0.5481293626615,0.887,0.918,3.01140515362623e-89,1.77102832312848e-93,88.5212308106954,92.7517744933102,7
"L1PA11",8.41311378113217e-93,0.576302736655204,0.812,0.843,2.73434611000577e-88,1.57494949959155e-92,87.5631465138531,91.8027333672079,7
"L1MB1",1.18748430420265e-92,0.647593211500526,0.765,0.781,3.85944273708903e-88,2.218179555253e-92,87.4134753983538,91.6540033018752,7
"FLAM-C",2.47756142474699e-92,0.647974519735761,0.855,0.893,8.05232238657021e-88,4.61800326038155e-92,87.094078845817,91.3355457648001,7
"L1MA4A",1.75504984438476e-90,0.535053629757889,0.89,0.903,5.7040874992349e-86,3.16863601611725e-90,85.2438138211395,89.4991276457168,7
"SVA-D",2.12207602624207e-88,0.616077774437902,0.831,0.866,6.89695929288935e-84,3.68110876511941e-88,83.1613423372887,87.4340213503356,7
"L1ME3A",2.00126883117349e-85,0.536333888427715,0.877,0.905,6.50432382819697e-81,3.29913085253624e-85,80.1867978448282,84.4816004588083,7
"MT-ND1",3.87989793234143e-84,0.627721075850799,0.938,0.954,1.26100562699029e-79,6.22949193601982e-84,78.8992829754687,83.2055473720215,7
"MT-CO2",1.26268505183739e-82,0.663070606564689,0.982,0.979,4.1038526869767e-78,1.96873929491539e-82,77.3868082371705,81.7058117903504,7
"L1MD",4.81858877939628e-82,0.561502269514275,0.784,0.823,1.56608953919158e-77,7.45908899841971e-82,76.8051834113297,81.1273142110151,7
"L1MC3",5.89155144791277e-80,0.539593871864472,0.82,0.847,1.91481313608613e-75,8.75867166158264e-80,74.7178736018136,79.0575617538534,7
"L1PB4",1.14743527513243e-77,0.579222355910872,0.771,0.81,3.72927938770792e-73,1.66007819352773e-77,72.4283750792306,76.7798714552022,7
"L1ME3B",1.7904272720074e-76,0.55844322409009,0.787,0.835,5.81906767675126e-72,2.56241913058439e-76,71.2351465918582,75.5913498319636,7
"L1M3",1.88028937207494e-74,0.557263862310821,0.722,0.745,6.11112848818075e-70,2.634236571592e-74,69.2138785850216,73.5793452251512,7
"L1MC2",1.59781597351475e-73,0.562736271922263,0.78,0.809,5.1930616955203e-69,2.21690544235246e-73,68.284576517793,72.654252830449,7
"L1MB4",2.16502968704617e-71,0.517340450690118,0.857,0.899,7.03656298586875e-67,2.95870248601875e-71,66.1526394205115,70.5288987033681,7
"Charlie1a",2.60700673934412e-71,0.575726441062832,0.71,0.741,8.47303260354231e-67,3.55426037291307e-71,66.07196112246,70.4492507604425,7
"L1MA1",7.8907297701082e-70,0.623057143640621,0.706,0.729,2.56456608258287e-65,1.06735106451464e-69,64.5909861057496,68.971692712436,7
"L1MA5",4.62132975388951e-66,0.539320995689663,0.761,0.801,1.50197838331163e-61,6.11219552123624e-66,60.8233363177154,65.2138027616909,7
"L1ME3G",1.00498739944544e-63,0.507604928828143,0.795,0.843,3.26630954693761e-59,1.30815101918765e-63,58.4859426597229,62.8833421160929,7
"L1MA7",7.63112929148628e-63,0.520393600918087,0.786,0.843,2.48019333102596e-58,9.8735600877851e-63,57.6055144646072,62.0055262264889,7
"L1P3",5.96349125564511e-60,0.590693829402954,0.644,0.657,1.93819429299722e-55,7.58510383732016e-60,54.7126026895417,59.1200384695026,7
"L1PB3",1.64198438327901e-55,0.58141476001966,0.671,0.713,5.33661344409511e-51,2.03742993928078e-55,50.2727342540404,54.6909173163337,7
"MT-CO1",5.99516105787062e-54,0.637312582815412,0.983,0.981,1.94848729541853e-49,7.38590148885416e-54,48.7103024215611,53.1315964891481,7
"FRAM",9.74464529371288e-51,0.571476655097328,0.654,0.684,3.16710716690962e-46,1.17370954479752e-50,45.4993372409508,49.9304393636494,7
"L1ME3",9.93575578618635e-47,0.503903868058933,0.705,0.77,3.22921998806843e-42,1.17540195249881e-46,41.4909023680055,45.9298135922002,7
"L1PA17",3.57576281762517e-46,0.540619630060309,0.688,0.734,1.16215867335636e-41,4.21280998172085e-46,40.9347345722395,45.3754281292309,7
"L1P2",1.31461141883287e-43,0.585089872976458,0.615,0.652,4.27261857234871e-39,1.53208596144871e-43,38.369305876038,42.8147168668604,7
"L1PA14",2.69295877678489e-42,0.533840079721965,0.651,0.703,8.75238532042858e-38,3.12158955589706e-42,37.0578735709407,41.5056242009941,7
