gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,p_adj_FDR,nlog10p.adj,nlog10p.FDR,TE_class,TE_family,deg,nlog10p.adj_max,deglabs
AP1S1,1.90E-93,-0.309897301,0.15,0.412,6.17E-89,3.61E-93,88.20995269,92.44289448,NA,NA,NO,88.20995269,NA
AP1S2,2.92E-112,-0.493421976,0.127,0.402,9.48E-108,7.85E-112,107.0233749,111.1050889,NA,NA,NO,107.0233749,NA
AP2M1,4.99E-144,-0.529734012,0.28,0.642,1.62E-139,2.28E-143,138.7900136,142.6412109,NA,NA,DOWN,138.7900136,NA
AP2S1,3.45E-216,-0.786634476,0.235,0.644,1.12E-211,5.27E-215,210.9499278,214.2778621,NA,NA,DOWN,210.9499278,NA
APEX1,5.71E-111,-0.392255818,0.216,0.527,1.86E-106,1.51E-110,105.7311595,109.820263,NA,NA,NO,105.7311595,NA
APH1A,3.19E-106,-0.326576577,0.111,0.375,1.04E-101,7.67E-106,100.9847167,105.1150918,NA,NA,NO,100.9847167,NA
APLP2,6.94E-74,-0.287852964,0.287,0.563,2.26E-69,9.66E-74,68.6465288,73.01480642,NA,NA,NO,68.6465288,NA
APOC1,1.86E-59,-1.458725342,0.075,0.228,6.04E-55,2.36E-59,54.21879575,58.62719059,NA,NA,DOWN,54.21879575,NA
APOC2,1.42E-39,-1.200682188,0.039,0.139,4.61E-35,1.62E-39,34.33638583,38.78993101,NA,NA,DOWN,34.33638583,NA
APOD,9.90E-08,0.427016379,0.328,0.292,0.003217007,1.05E-07,2.492548005,6.978257302,NA,NA,NO,2.492548005,NA
APOE,5.55E-58,-1.444191595,0.16,0.337,1.80E-53,6.98E-58,52.74415655,57.15604994,NA,NA,DOWN,52.74415655,NA
APRT,1.28E-116,-0.430403838,0.189,0.491,4.15E-112,3.74E-116,111.381951,115.4269222,NA,NA,NO,111.381951,NA
AQP4,2.32E-80,-0.884535804,0.086,0.282,7.55E-76,3.47E-80,75.12230624,79.45936798,NA,NA,DOWN,75.12230624,NA
ARF1,3.00E-84,-0.291034442,0.22,0.502,9.75E-80,4.83E-84,79.01098562,83.31644127,NA,NA,NO,79.01098562,NA
ARF4,1.09E-128,-0.458313882,0.177,0.505,3.55E-124,3.85E-128,123.4500456,127.4150976,NA,NA,NO,123.4500456,NA
ARGLU1,0.484742629,0.25175195,0.472,0.578,1,0.491001044,0,0.308917585,NA,NA,NO,0,NA
ARHGAP18,2.34E-54,-0.296267097,0.02,0.142,7.60E-50,2.89E-54,49.11914612,53.53888747,NA,NA,NO,49.11914612,NA
ARHGAP24,1.51E-12,0.449679415,0.161,0.12,4.92E-08,1.63E-12,7.307883713,11.78713098,NA,NA,NO,7.307883713,NA
ARHGDIA,3.02E-86,-0.275035793,0.158,0.415,9.80E-82,5.05E-86,81.00880287,85.29691747,NA,NA,NO,81.00880287,NA
