"GOID","Term","Class","Pvalue","p.adj","nlog10p.adj","OddsRatio","ExpCount","Count","Size","cluster","group"
"GO:1903047","mitotic cell cycle process","BP",1.44031870722968e-05,0.000172867108969911,3.76228763108533,2.10817963111468,23.0255486059578,45,905,"7","TE-enriched"
"GO:0008283","cell population proliferation","BP",2.02421122897454e-05,0.000234487447781983,3.62988040030465,1.72174102062475,52.0809922612106,82,2047,"7","TE-enriched"
"GO:1990169","stress response to copper ion","BP",2.53888056195871e-05,0.000287435835265987,3.54145908836569,19.3431578947368,0.381638927170571,5,15,"7","TE-enriched"
"GO:0097501","stress response to metal ion","BP",5.01565617316585e-05,0.000511054418747157,3.2915328523051,16.1175438596491,0.432524117459981,5,17,"7","TE-enriched"
"GO:0008284","positive regulation of cell population proliferation","BP",9.43845494457433e-05,0.000877746997873535,3.05663064726186,1.93295429373108,24.908300646666,45,979,"7","TE-enriched"
"GO:0070663","regulation of leukocyte proliferation","BP",0.000148113421363828,0.00130640836605003,2.8839210471035,2.99054712394309,6.10622283472914,17,240,"7","TE-enriched"
"GO:0080135","regulation of cellular response to stress","BP",0.000392111345699788,0.00293737449745104,2.53204068003216,1.93618110668178,19.7180112371462,36,775,"7","TE-enriched"
"GO:0070661","leukocyte proliferation","BP",0.000447223266176831,0.00329854697183872,2.48167732711631,2.53624920684109,7.96353228029259,19,313,"7","TE-enriched"
"GO:0070665","positive regulation of leukocyte proliferation","BP",0.000463773143780258,0.0034038448015931,2.4680302498061,3.39056112969156,3.81638927170571,12,150,"7","TE-enriched"
"GO:0050670","regulation of lymphocyte proliferation","BP",0.000510046731195065,0.00373431524832181,2.42778902199822,2.87507906388362,5.57192833669034,15,219,"7","TE-enriched"
"GO:1990144","intrinsic apoptotic signaling pathway in response to hypoxia","BP",0.000530764693172901,0.00385770600414138,2.41367087302294,28.9025157232704,0.178098166012933,3,7,"7","TE-enriched"
"GO:0032944","regulation of mononuclear cell proliferation","BP",0.000560788329472968,0.00405623346040291,2.39187705672037,2.84685248982148,5.62281352697975,15,221,"7","TE-enriched"
"GO:0007568","aging","BP",0.000563977002141564,0.00406946779015159,2.3904623846111,2.48469992769342,8.11618785116082,19,319,"7","TE-enriched"
"GO:0050671","positive regulation of lymphocyte proliferation","BP",0.000721995129368056,0.00501627474453049,2.29961868494332,3.4263710021322,3.46019293967985,11,136,"7","TE-enriched"
"GO:0032946","positive regulation of mononuclear cell proliferation","BP",0.000767470145203365,0.00528319390761259,2.27710344922964,3.39899143737097,3.48563553482455,11,137,"7","TE-enriched"
"GO:0042102","positive regulation of T cell proliferation","BP",0.00109232108472405,0.00713403596119119,2.14666470580401,3.79963998892274,2.56970210961518,9,101,"7","TE-enriched"
"GO:0002082","regulation of oxidative phosphorylation","BP",0.00119175979295666,0.00769121702588086,2.11400493382606,7.15750487329435,0.814163044630552,5,32,"7","TE-enriched"
