"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GJB1",0,2.03423820447578,0.522,0.007,0
"RPS4X",0,-1.4025178940702,0.819,0.97,0
"PLP1",0,6.32154135095288,0.995,0.186,0
"RPL39",0,-1.55325839342054,0.735,0.972,0
"LAMP2",0,2.07583825219131,0.81,0.362,0
"INF2",3.89430798736377e-307,1.07106878214897,0.294,0.048,1.22775847917617e-302
"ADIPOR2",3.73768438181692e-306,1.4352082387214,0.463,0.124,1.17837975505542e-301
"RPS3A",4.44272627607964e-306,-1.32045214700022,0.86,0.975,1.40065831305963e-301
"RNF13",1.13246609455543e-304,1.74393794335356,0.735,0.371,3.5703258563049e-300
"LDLRAD4",2.98819534729459e-304,1.30390849602959,0.379,0.081,9.42088347141566e-300
"SEMA3C",7.88774540326933e-304,0.767296819222911,0.191,0.02,2.48676949328872e-299
"PRKCQ-AS1",1.04210661783936e-302,0.967980665085392,0.23,0.03,3.28544953406215e-298
"RPL36",2.88594445198958e-301,-1.33178019912421,0.745,0.97,9.09851707378755e-297
"UNC5C",3.96692678573764e-300,0.42580299144483,0.11,0.006,1.25065300773951e-295
"SAMD12",3.87644475689352e-298,0.50591889263368,0.122,0.008,1.22212673850582e-293
"VIM",2.3945808592191e-297,-3.18147931632648,0.264,0.781,7.54939507486005e-293
"ENPP6",9.16904292044421e-297,0.777355802551473,0.22,0.028,2.89072416152845e-292
"CFL2",9.25975732190732e-297,1.702213829585,0.681,0.302,2.91932369087772e-292
"RPL32",5.16128386883575e-296,-1.27338506520682,0.86,0.985,1.62719796532785e-291
"CDC42EP1",1.15823852822353e-295,1.42473373040106,0.432,0.109,3.65157860793032e-291
"KIAA0930",6.71681448102387e-292,1.32912682907279,0.387,0.087,2.1176101014324e-287
"FIS1",7.30308430654628e-292,1.52380476476527,0.852,0.632,2.30244338932485e-287
"NXPE3",2.47900367738508e-289,1.18912230060002,0.355,0.074,7.81555489369193e-285
"VAMP2",2.24740015146988e-287,1.48770073994464,0.843,0.558,7.08537845753908e-283
"TYRO3",5.07632728547439e-287,1.31423061913254,0.38,0.084,1.60041370329151e-282
"DYNC1I1",1.42005493671199e-286,0.681862754818671,0.191,0.021,4.47700719897188e-282
"STXBP6",1.71802353674716e-286,0.844075436213229,0.237,0.033,5.41641280430278e-282
"GAL3ST1",1.62048519387462e-285,0.798517823543983,0.237,0.033,5.10890367072853e-281
"RPS15A",1.05266242208572e-284,-1.44456313315075,0.788,0.979,3.31872881810964e-280
"GLUL",1.12686708445287e-283,1.53616387304762,0.911,0.562,3.55267385715457e-279
"ENDOD1",5.21810324031276e-283,1.32437902419961,0.444,0.119,1.6451114085734e-278
"ATP10B",6.47088012785941e-282,0.845511362907448,0.228,0.031,2.04007437791024e-277
"ARRDC2",3.42479704044588e-281,0.882415069877979,0.207,0.026,1.07973576294137e-276
"RAPGEF3",1.32252318012527e-280,0.599529093696838,0.137,0.011,4.16951882998095e-276
"STMN1",1.43785118147834e-280,1.12069946933287,0.95,0.635,4.53311341984678e-276
"SPOCK1",3.18857538160699e-280,1.50114761935689,0.504,0.152,1.00526216055923e-275
"RACK1",3.60827256206247e-278,-1.26667866843861,0.777,0.952,1.13758009064143e-273
"PXK",6.33250643694346e-278,1.43883797181009,0.47,0.138,1.99644930437517e-273
"TRIM59",4.63087290423843e-275,1.25483688026418,0.363,0.079,1.45997530051925e-270
"RPS11",3.81891103515424e-274,-1.40637203886798,0.725,0.953,1.20398808205308e-269
"TBCB",6.00594504552714e-274,1.48161573754473,0.855,0.621,1.89349429450334e-269
"RASGRP3",1.16745048407717e-272,1.13685764260459,0.324,0.064,3.68062114115008e-268
"NACAD",1.89321534223329e-271,1.15392606344086,0.348,0.074,5.96874000945889e-267
"FTH1",7.37905538207293e-271,0.786598636935933,0.998,0.924,2.32639479030613e-266
"BEST1",3.07755731188108e-268,0.927513522036193,0.253,0.04,9.70261493716748e-264
"ADCY5",3.9283991137089e-267,0.617737828202363,0.141,0.012,1.238506388579e-262
"PRNP",6.92499115859724e-267,1.57620770331596,0.649,0.286,2.18324196257095e-262
"RPL23",2.93556675823223e-266,-1.3505642532224,0.683,0.935,9.25496131867874e-262
"DNM3",3.42195499435495e-266,1.23907340945612,0.428,0.112,1.07883975107029e-261
"KIAA1324L",3.92203417852411e-266,0.695801829600504,0.18,0.02,1.2364997154633e-261
"KIF1A",4.66186774492876e-266,1.36842456681567,0.487,0.147,1.46974704394369e-261
"SELENOW",6.76431583267889e-266,1.27027385987957,0.895,0.714,2.13258585256868e-261
"TMCC3",1.92441381666129e-265,0.871943544595812,0.232,0.034,6.06709943978803e-261
"C4orf48",5.0036587847372e-265,1.84703403992846,0.717,0.384,1.5775035050641e-260
"TMTC2",8.03713086897236e-265,0.993700144707146,0.297,0.055,2.53386624906092e-260
"PREX1",1.15514174624935e-263,1.40905592752429,0.457,0.132,3.64181538340033e-259
"RPS8",9.66046045873042e-263,-1.29029935972487,0.849,0.978,3.04565336882394e-258
