"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLCL1",0,1.74445833466892,0.871,0.442,0,"8","PLCL1"
"PAQR8",0,1.70195124682826,0.848,0.529,0,"8","PAQR8"
"CNTNAP4",0,1.70162896971954,0.915,0.405,0,"8","CNTNAP4"
"DHCR24",0,1.60001178638554,0.978,0.651,0,"8","DHCR24"
"SH3GL3",0,1.52832980730018,0.912,0.425,0,"8","SH3GL3"
"SLCO1A2",0,1.50194719250118,0.916,0.417,0,"8","SLCO1A2"
"EPB41L3.1",0,1.49231901068476,0.895,0.558,0,"8","EPB41L3"
"PDK4",0,1.48276818930054,0.862,0.479,0,"8","PDK4"
"PCSK6",0,1.42950087587208,0.821,0.465,0,"8","PCSK6"
"VXN",0,1.39329367222431,0.906,0.546,0,"8","VXN"
"AL359091.1",0,1.28334405003718,0.866,0.577,0,"8","AL359091.1"
"ANKRD18A",0,1.20133764320612,0.967,0.473,0,"8","ANKRD18A"
"SEC14L5",0,1.0622810313207,0.911,0.63,0,"8","SEC14L5"
"ACSL1",0,1.02372333881133,0.949,0.538,0,"8","ACSL1"
"USH1C",0,0.981468536018142,0.947,0.552,0,"8","USH1C"
"DYNC1I1",0,0.957762359374826,0.909,0.378,0,"8","DYNC1I1"
"CCNE2",0,0.809962969523801,0.874,0.602,0,"8","CCNE2"
"DNAH17-AS1",0,0.802209997500885,0.852,0.406,0,"8","DNAH17-AS1"
"SYP",0,0.624861939257991,0.959,0.486,0,"8","SYP"
"NPTX1.1",0,-0.276740173514212,0.259,0.763,0,"8","NPTX1"
"LYZ",0,-0.306681247967027,0.021,0.801,0,"8","LYZ"
"CA3",0,-0.347677839758547,0.442,0.811,0,"8","CA3"
"TMOD1",0,-0.35318115543075,0.072,0.58,0,"8","TMOD1"
"APOL2.1",0,-0.36534002329803,0.184,0.807,0,"8","APOL2"
"RGS17.1",0,-0.43867670141671,0.183,0.721,0,"8","RGS17"
"CYTL1",0,-0.475140065205005,0.5,0.816,0,"8","CYTL1"
"IER3.1",0,-0.512647516649621,0.097,0.671,0,"8","IER3"
"EMP1.1",0,-1.06229938717033,0.581,0.904,0,"8","EMP1"
"EVI2A",1.82088082527664e-289,1.86742565955479,0.847,0.589,3.64176165055329e-286,"8","EVI2A"
"SVIP",3.78060652206737e-284,1.77136285119583,0.826,0.35,7.56121304413473e-281,"8","SVIP"
"CCL3L1.1",5.83448733996811e-284,-0.772661133080215,0.208,0.7,1.16689746799362e-280,"8","CCL3L1"
"H19",4.72143181896808e-282,-0.30040032831185,0.176,0.641,9.44286363793616e-279,"8","H19"
"PDIA2",1.31324525037977e-281,0.630846131483902,0.808,0.397,2.62649050075954e-278,"8","PDIA2"
"RASD1.1",2.26521260367162e-279,-0.67166833772299,0.503,0.792,4.53042520734323e-276,"8","RASD1"
"LRP2",2.88516305344417e-271,0.948152302933622,0.792,0.248,5.77032610688834e-268,"8","LRP2"
"EPAS1.1",6.46282167327665e-271,-0.779438823421639,0.427,0.766,1.29256433465533e-267,"8","EPAS1"
"GPR37L1",2.15569664067829e-265,0.605018978463827,0.871,0.55,4.31139328135658e-262,"8","GPR37L1"
"CMTM5",4.4463782581309e-265,1.85439177500693,0.809,0.5,8.89275651626179e-262,"8","CMTM5"
"HEG1",4.92324690509722e-265,0.46988804323092,0.869,0.578,9.84649381019444e-262,"8","HEG1"
"SPOCK3",1.89439309673113e-259,1.95391074657191,0.794,0.388,3.78878619346225e-256,"8","SPOCK3"
"MOG",2.62503315463825e-257,1.77784597515223,0.794,0.4,5.2500663092765e-254,"8","MOG"
"TPPP3",6.63697759794781e-257,1.64919786163573,0.864,0.549,1.32739551958956e-253,"8","TPPP3"
"CP.1",1.16493798548805e-254,-0.520597739196652,0.343,0.724,2.3298759709761e-251,"8","CP"
"LGI3",2.08507007230604e-250,1.29322371047766,0.787,0.417,4.17014014461208e-247,"8","LGI3"
"AK5",1.83461465116169e-248,1.28391247286205,0.788,0.487,3.66922930232337e-245,"8","AK5"
"HEY1.1",1.91827476534281e-248,-1.02170033602406,0.508,0.782,3.83654953068563e-245,"8","HEY1"
"TRIB1",4.22030495526625e-244,-0.268675015293198,0.113,0.608,8.44060991053249e-241,"8","TRIB1"
"KCNJ10",1.41572079051065e-242,1.43619367033483,0.79,0.397,2.8314415810213e-239,"8","KCNJ10"
"RHOBTB3",2.70158309429874e-223,-0.981368834703132,0.448,0.894,5.40316618859748e-220,"8","RHOBTB3"
"CREM",2.15067490035135e-220,-0.443171801814688,0.309,0.729,4.3013498007027e-217,"8","CREM"
"ELAVL3",9.93756002437323e-210,1.42976454933031,0.841,0.547,1.98751200487465e-206,"8","ELAVL3"
"TRIM59",6.50907240838039e-206,1.35277575697911,0.79,0.494,1.30181448167608e-202,"8","TRIM59"
"NFKBIA",7.06440358867506e-205,-1.26372935024496,0.618,0.908,1.41288071773501e-201,"8","NFKBIA"
"SLC3A2",7.31709428013825e-201,-0.798035132977611,0.438,0.787,1.46341885602765e-197,"8","SLC3A2"
"SNORC",2.57509542572086e-200,0.701521406652616,0.759,0.501,5.15019085144173e-197,"8","SNORC"
"SERPINI1",2.90676713084934e-200,1.39874439261537,0.768,0.506,5.81353426169868e-197,"8","SERPINI1"
"SLC6A1",3.177938536696e-198,0.941647324269721,0.777,0.476,6.355877073392e-195,"8","SLC6A1"
"GPIHBP1",2.60431071393353e-197,0.799626319596156,0.75,0.461,5.20862142786705e-194,"8","GPIHBP1"
"WTAP",1.01247072997772e-194,-0.755539880102706,0.58,0.839,2.02494145995543e-191,"8","WTAP"
"CTSZ.1",2.02342874658743e-194,-0.343574493272137,0.211,0.585,4.04685749317486e-191,"8","CTSZ"
"CAPN3",4.88797993570268e-191,1.48546011292248,0.754,0.464,9.77595987140536e-188,"8","CAPN3"
"OMG",8.05427691325424e-188,1.25484999915425,0.777,0.506,1.61085538265085e-184,"8","OMG"
"ZNF488",1.79227350717402e-186,0.706502526845569,0.744,0.337,3.58454701434803e-183,"8","ZNF488"
"SMYD2",3.17305860873782e-184,-0.276915361458512,0.185,0.624,6.34611721747564e-181,"8","SMYD2"
"PLAT.1",1.69475388716376e-181,-0.462646349814402,0.308,0.655,3.38950777432751e-178,"8","PLAT"
"CENPU.1",9.24681434453273e-181,-0.40513370698054,0.225,0.58,1.84936286890655e-177,"8","CENPU"
"LHFPL2",2.37973220128693e-179,-0.283718916432717,0.246,0.62,4.75946440257386e-176,"8","LHFPL2"
"ALDOC",3.65120564864884e-177,0.362938704496544,0.939,0.62,7.30241129729767e-174,"8","ALDOC"
"SLFN5",1.13326789822797e-172,0.257064902742771,0.764,0.51,2.26653579645594e-169,"8","SLFN5"
"NQO1",3.15245560102194e-168,0.331821001961822,0.804,0.547,6.30491120204389e-165,"8","NQO1"
"KLF6",3.67564531849569e-164,-0.90152668568956,0.554,0.879,7.35129063699139e-161,"8","KLF6"
"C1QL1",1.14924959818128e-161,-0.541925384036404,0.377,0.689,2.29849919636257e-158,"8","C1QL1"
"ZFP36L2",3.32556942715304e-161,-0.86156575312393,0.354,0.75,6.65113885430608e-158,"8","ZFP36L2"
"NGFR",2.69750996645109e-158,0.634657621998387,0.737,0.443,5.39501993290218e-155,"8","NGFR"
"KIF20B.1",8.73023740717404e-155,-0.313942730722664,0.31,0.612,1.74604748143481e-151,"8","KIF20B"
"HELLS",1.99294835625249e-150,-0.333481352403977,0.194,0.556,3.98589671250498e-147,"8","HELLS"
"TAGLN2",2.38081667617235e-149,-0.669682733745372,0.335,0.697,4.76163335234469e-146,"8","TAGLN2"
"RAD51AP1.1",1.0072860275483e-143,-0.33810627821168,0.432,0.698,2.01457205509659e-140,"8","RAD51AP1"
"GPD1",3.31530065136984e-134,1.02936330595866,0.709,0.42,6.63060130273969e-131,"8","GPD1"
"KPNA2.1",3.58671493441588e-134,-0.531877628293888,0.381,0.663,7.17342986883175e-131,"8","KPNA2"
"MYO1D",2.67008763318161e-125,0.595724858827683,0.691,0.322,5.34017526636321e-122,"8","MYO1D"
"HLA-E",3.29314918469517e-103,-0.641156046273002,0.605,0.882,6.58629836939034e-100,"8","HLA-E"
"TSC22D1.1",2.821960751065e-97,-0.560402653979852,0.482,0.747,5.64392150213001e-94,"8","TSC22D1"
"TMEM151A",7.46248728476751e-95,1.23302143460465,0.67,0.407,1.4924974569535e-91,"8","TMEM151A"
"HSPH1",5.9756151214875e-91,-0.350748460295621,0.558,0.852,1.1951230242975e-87,"8","HSPH1"
"NKX6-2",3.58785003940913e-68,1.26226676553497,0.639,0.389,7.17570007881827e-65,"8","NKX6-2"
"IGF2BP2",6.66839258331662e-62,-0.270458146714943,0.266,0.529,1.33367851666333e-58,"8","IGF2BP2"
"GRM3",6.39944712788707e-52,0.890094700058904,0.619,0.34,1.27988942557741e-48,"8","GRM3"
"CCNB2.1",9.1378756151789e-50,-0.257163106906562,0.939,0.623,1.82757512303578e-46,"8","CCNB2"
