"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ITIH5",1.07505033053591e-85,1.19387062832192,0.736,0.411,2.15010066107181e-82,"10","ITIH5"
"TMEM176A",2.45234772536478e-84,-0.274687086299418,0.245,0.734,4.90469545072956e-81,"10","TMEM176A"
"ALOX5AP.1",5.20466740421517e-84,-0.894602648919082,0.46,0.816,1.04093348084303e-80,"10","ALOX5AP"
"S100B",6.40252134609415e-83,-1.2464939883413,0.506,0.807,1.28050426921883e-79,"10","S100B"
"PPP1R14A.2",7.59667604927756e-82,1.10785657207296,0.833,0.572,1.51933520985551e-78,"10","PPP1R14A"
"TMEM132B.1",3.07294729818038e-81,-0.331485498632064,0.47,0.759,6.14589459636077e-78,"10","TMEM132B"
"TREM2.1",6.8304561715902e-81,-0.390427013717166,0.317,0.726,1.36609123431804e-77,"10","TREM2"
"ABCC3.1",3.35285015537567e-80,-0.402553295934488,0.521,0.805,6.70570031075135e-77,"10","ABCC3"
"BTNL9",1.52524755459138e-79,0.645576691219658,0.692,0.289,3.05049510918277e-76,"10","BTNL9"
"PRKG1",5.72865137791304e-79,0.437702387056414,0.717,0.441,1.14573027558261e-75,"10","PRKG1"
"PTP4A3",4.06732061298194e-76,0.985676121491012,0.743,0.421,8.13464122596388e-73,"10","PTP4A3"
"SLC7A5",3.14539326998072e-75,1.04966117255894,0.76,0.508,6.29078653996144e-72,"10","SLC7A5"
"TMEM158.1",1.03991450209155e-74,-0.547519594622067,0.492,0.799,2.07982900418311e-71,"10","TMEM158"
"CLEC14A",1.34026236677813e-74,0.760565013658111,0.7,0.41,2.68052473355626e-71,"10","CLEC14A"
"DOK5",4.67799496639513e-74,-0.416605282719401,0.492,0.792,9.35598993279026e-71,"10","DOK5"
"CXCL14",6.69142738982942e-74,-0.488970622337338,0.424,0.772,1.33828547796588e-70,"10","CXCL14"
"MER4C.1",5.961361222478e-73,-0.431139806893757,0.383,0.728,1.1922722444956e-69,"10","MER4C"
"MMP9",8.81910166918043e-73,0.64792924022313,0.734,0.458,1.76382033383609e-69,"10","MMP9"
"CNN2",1.79971658347585e-72,0.292823271918545,0.755,0.487,3.59943316695171e-69,"10","CNN2"
"SCD5.1",1.02251316457545e-71,-0.721660212257223,0.402,0.753,2.0450263291509e-68,"10","SCD5"
"MAOB",8.26633690492339e-69,-0.321945254985462,0.383,0.755,1.65326738098468e-65,"10","MAOB"
"MGST1.1",1.82736469132138e-65,-0.525308719782442,0.351,0.754,3.65472938264276e-62,"10","MGST1"
"PTPRC",2.61399142649701e-65,-0.379747217714953,0.354,0.764,5.22798285299402e-62,"10","PTPRC"
"NRXN1.1",6.85685433168409e-65,-0.457413757780537,0.308,0.687,1.37137086633682e-61,"10","NRXN1"
"SCG3",2.45254028097868e-63,-0.555522109047318,0.358,0.709,4.90508056195736e-60,"10","SCG3"
"DDX39A",1.31264824227344e-62,-0.467864581216767,0.378,0.766,2.62529648454688e-59,"10","DDX39A"
"CP",2.74810839333166e-62,-0.27207786685929,0.424,0.808,5.49621678666331e-59,"10","CP"
"SOX11",1.04684495145854e-61,-0.688851050585373,0.38,0.701,2.09368990291708e-58,"10","SOX11"
"FAM20C",1.85241812500342e-61,-0.468884339101049,0.547,0.833,3.70483625000684e-58,"10","FAM20C"
"TUBB3.1",4.70752480734871e-61,-0.794198047316104,0.433,0.759,9.41504961469742e-58,"10","TUBB3"
"VWA1",3.4452996911456e-60,0.807123161450103,0.709,0.441,6.8905993822912e-57,"10","VWA1"
"TUBB2A.1",1.15899776492566e-59,-0.742404552863447,0.54,0.814,2.31799552985132e-56,"10","TUBB2A"
"STMN4",1.33053918615247e-57,-0.48294215796051,0.266,0.661,2.66107837230494e-54,"10","STMN4"
"MARCH1.1",3.75464970823579e-57,-0.341796021216078,0.179,0.642,7.50929941647158e-54,"10","MARCH1"
"NEURL1B",3.8715857212073e-57,0.256060546893076,0.738,0.411,7.74317144241461e-54,"10","NEURL1B"
"CCL3",1.4554374464075e-56,-1.57438225521625,0.409,0.736,2.91087489281499e-53,"10","CCL3"
"BASP1",3.0773827380319e-55,-0.393730978367616,0.157,0.613,6.1547654760638e-52,"10","BASP1"
"HYAL2",7.01047012563061e-54,1.07157729932575,0.678,0.42,1.40209402512612e-50,"10","HYAL2"
"HEY1.1",1.17884035313263e-53,-0.586045707085914,0.484,0.781,2.35768070626526e-50,"10","HEY1"
"LRRC32",3.13990413018885e-52,0.724334242275566,0.668,0.383,6.2798082603777e-49,"10","LRRC32"
"CXCL8.1",5.13314088961241e-52,-0.354195940737516,0.387,0.827,1.02662817792248e-48,"10","CXCL8"
"TCIM.1",4.4780638599218e-51,-0.921614848457363,0.564,0.883,8.9561277198436e-48,"10","TCIM"
"SVIP.1",1.82755485146653e-50,0.368151852339989,0.646,0.346,3.65510970293306e-47,"10","SVIP"
"EBF1",6.04338775691808e-50,0.593735987429215,0.663,0.397,1.20867755138362e-46,"10","EBF1"
"NAMPT",1.17260745981479e-49,-0.934085052099056,0.683,0.954,2.34521491962959e-46,"10","NAMPT"
"NINJ1.1",2.29611826238083e-49,-0.383654463437178,0.211,0.607,4.59223652476165e-46,"10","NINJ1"
"SLAIN1.2",3.06564754677985e-48,-0.336666739002985,0.196,0.592,6.13129509355969e-45,"10","SLAIN1"
"RUNDC3B",1.44777667986783e-46,0.655808471626665,0.627,0.311,2.89555335973567e-43,"10","RUNDC3B"
"SPRY2",1.54041913227302e-46,-0.272750433404477,0.305,0.633,3.08083826454605e-43,"10","SPRY2"
"TCEAL2",3.32463418339299e-46,-0.384801641900933,0.254,0.621,6.64926836678598e-43,"10","TCEAL2"
"UCHL1.1",1.31605901921377e-45,-0.634438333812572,0.346,0.663,2.63211803842754e-42,"10","UCHL1"
"JAG2",1.39840383134849e-45,0.435988295771526,0.588,0.327,2.79680766269698e-42,"10","JAG2"
"HIF3A",3.82688200227186e-44,0.407574893932563,0.603,0.34,7.65376400454373e-41,"10","HIF3A"
"PAFAH1B3.1",4.89679528029028e-44,-0.603075339415304,0.349,0.65,9.79359056058055e-41,"10","PAFAH1B3"
"ZFP36L2",8.75624341633224e-42,-0.64569091027218,0.397,0.698,1.75124868326645e-38,"10","ZFP36L2"
"HLA-DPB1",2.56341012767357e-41,-0.681922960980536,0.38,0.761,5.12682025534714e-38,"10","HLA-DPB1"
"CTSS",2.91511441406544e-41,-0.250049773005941,0.436,0.754,5.83022882813089e-38,"10","CTSS"
"UBE2T.2",7.40154994695997e-40,-0.268667098654713,0.237,0.538,1.48030998939199e-36,"10","UBE2T"
"CCDC34",2.91110154349751e-38,-0.274125832239398,0.453,0.725,5.82220308699501e-35,"10","CCDC34"
"TUBB6",1.00565239483282e-35,0.47158877523155,0.646,0.363,2.01130478966564e-32,"10","TUBB6"
"SERPINA3",7.72742181064827e-34,-0.507204221916465,0.533,0.812,1.54548436212965e-30,"10","SERPINA3"
"GPR4",4.05886172869911e-32,0.507577926049699,0.588,0.199,8.11772345739821e-29,"10","GPR4"
"PCBP4",6.23550358365852e-31,-0.259849369654288,0.334,0.596,1.2471007167317e-27,"10","PCBP4"
"CADM2",2.32614117801821e-29,-0.3648573103151,0.31,0.615,4.65228235603642e-26,"10","CADM2"
"MAFB",6.96777213847953e-28,-0.373681416984317,0.312,0.606,1.39355442769591e-24,"10","MAFB"
"CCL4",1.37748127060514e-27,-0.800980392140997,0.349,0.654,2.75496254121028e-24,"10","CCL4"
"TTYH1.1",3.59557938287969e-25,-0.452620791029004,0.237,0.561,7.19115876575938e-22,"10","TTYH1"
"METRN.1",3.1038067386893e-24,-0.297542425979945,0.31,0.566,6.20761347737861e-21,"10","METRN"
"MYCT1",3.25656714361009e-23,0.579456481569559,0.559,0.278,6.51313428722019e-20,"10","MYCT1"
"CLDND1",6.54471418881862e-22,-0.392841035119463,0.518,0.795,1.30894283776372e-18,"10","CLDND1"
"PROX1.1",1.80855102283608e-19,-0.264362373113778,0.278,0.559,3.61710204567215e-16,"10","PROX1"
"GLRX",8.23656447764844e-18,-0.29232095972054,0.569,0.839,1.64731289552969e-14,"10","GLRX"
"STMN2",8.67491351971912e-18,-0.274872722482678,0.303,0.564,1.73498270394382e-14,"10","STMN2"
"VAMP8.1",3.09414171484821e-12,-0.404496217369392,0.567,0.819,6.18828342969643e-09,"10","VAMP8"
"SERPINE1",1.06992508766112e-10,0.26015211068049,0.462,0.714,2.13985017532225e-07,"10","SERPINE1"
"ECM1",5.72315374589459e-10,0.287985467199582,0.375,0.639,1.14463074917892e-06,"10","ECM1"
